street,ward,district,city,size,property_legal_document,bed_rooms,toilets,floors,price,house_type
Tôn Đức Thắng,Hòa Minh,Liên Chiểu,Đà Nẵng,60.8,1,4,1,2,5.8,1
Nguyễn Văn Thoại,Bắc Phú Mỹ,Ngũ Hành Sơn,Đà Nẵng,110.0,1,6,5,4,13.3,1
Xuân Thiều 8,Hòa Hiệp Nam,Liên Chiểu,Đà Nẵng,80.0,1,2,1,2,3.6,1
Lê Duy Đình,An Khê,Thanh Khê,Đà Nẵng,76.0,1,4,4,4,7.2,1
Lê Duẩn,Tân Chính,Thanh Khê,Đà Nẵng,108.3,1,4,3,4,15.5,1
Lê Duẩn,Tân Chính,Thanh Khê,Đà Nẵng,108.3,1,4,2,5,15.5,1
Võ Văn Tần,Chính Gián,Thanh Khê,Đà Nẵng,70.0,1,5,4,5,33.0,1
Nguyễn Thúy,Hòa Minh,Liên Chiểu,Đà Nẵng,85.5,1,4,3,3,7.15,1
Lê Ninh,An Hải Bắc,Sơn Trà,Đà Nẵng,88.7,1,11,11,6,17.9,1
An Thượng 1,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,80.0,1,15,15,6,25.0,1
Võ Nguyên Giáp,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,140.0,1,15,15,7,40.0,1
Phước Trường 1,Phước Mỹ,Sơn Trà,Đà Nẵng,90.0,1,11,11,7,17.5,1
Nguyễn Duy Hiệu,An Hải Đông,Sơn Trà,Đà Nẵng,156.9,1,23,30,6,26.2,1
Nguyễn Văn Thoại,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,102.0,1,30,20,6,20.0,1
Hoàng Sa,Thọ Quang,Sơn Trà,Đà Nẵng,143.0,1,14,7,5,45.0,1
Tôn Đức Thắng,Hòa Minh,Liên Chiểu,Đà Nẵng,87.0,1,1,1,2,6.7,1
Chế Lan Viên,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,60.0,1,2,3,2,4.9,1
Phạm Hữu Kĩnh,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,57.0,1,2,1,2,4.85,1
Nguyễn Lương Bằng,Hòa Khánh Bắc,Liên Chiểu,Đà Nẵng,379.0,1,8,4,2,11.2,1
Nguyễn Duy Hiệu,An Hải Đông,Sơn Trà,Đà Nẵng,90.0,1,3,2,2,4.0,1
Văn Tiến Dũng,Hòa Xuân,Cẩm Lệ,Đà Nẵng,100.0,1,11,11,6,11.5,1
Hóa Sơn 6,Hòa Cường Nam,Hải Châu,Đà Nẵng,66.0,1,3,3,3,4.9,1
Trương Chí Cương,Hòa Cường Nam,Hải Châu,Đà Nẵng,54.0,1,4,3,3,4.8,1
Khúc Hạo,Nại Hiên Đông,Sơn Trà,Đà Nẵng,91.0,1,2,2,2,6.55,1
Ngô Trí Hoà,Nại Hiên Đông,Sơn Trà,Đà Nẵng,72.0,1,2,1,2,3.9,1
Lê Chân,An Hải Bắc,Sơn Trà,Đà Nẵng,70.0,1,3,2,3,5.55,1
Đinh Thị Hòa,An Hải Bắc,Sơn Trà,Đà Nẵng,98.0,1,9,9,7,13.5,1
Đa Mặn 2,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,90.0,1,4,2,2,4.25,1
An Cư 2,An Hải Bắc,Sơn Trà,Đà Nẵng,96.0,1,11,11,4,11.5,1
Nguyễn Khánh Toàn,Hòa Cường Bắc,Hải Châu,Đà Nẵng,74.0,1,2,2,2,4.99,1
Trần Văn Dư,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,100.0,1,6,6,3,9.399,1
An Cư 2,An Hải Bắc,Sơn Trà,Đà Nẵng,56.0,1,3,2,2,5.0,1
An Hải 6,An Hải Bắc,Sơn Trà,Đà Nẵng,92.0,1,2,1,2,5.1,1
Phạm Kiệt,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,90.0,1,4,4,2,9.0,1
Lý Văn Tố,An Hải Bắc,Sơn Trà,Đà Nẵng,86.0,1,9,9,5,14.5,1
Đỗ Bá,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,76.0,1,9,9,5,18.0,1
Yết Kiêu,Thọ Quang,Sơn Trà,Đà Nẵng,125.0,1,3,2,2,5.25,1
Thế Lữ,An Hải Bắc,Sơn Trà,Đà Nẵng,120.0,1,3,2,2,6.3,1
An Thượng 26,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,180.0,1,20,20,8,40.0,1
Lê Thanh Nghị,Hòa Cường Bắc,Hải Châu,Đà Nẵng,87.0,1,5,6,4,11.9,1
Võ An Ninh,Hòa Xuân,Cẩm Lệ,Đà Nẵng,94.0,1,19,19,5,12.0,1
Mai Hắc Đế,An Hải Tây,Sơn Trà,Đà Nẵng,76.0,1,2,2,2,6.6,1
An Trung,An Hải Tây,Sơn Trà,Đà Nẵng,58.0,1,3,3,3,3.95,1
Ngô Quyền,Mân Thái,Sơn Trà,Đà Nẵng,150.0,1,3,3,2,10.199,1
Mỹ Đa Đông 12,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,256.0,1,17,17,5,21.5,1
Hàn Thuyên,Hòa Cường Bắc,Hải Châu,Đà Nẵng,100.0,1,12,12,4,10.499,1
Dương Thị Xuân Quý,Bắc Mỹ An,Ngũ Hành Sơn,Đà Nẵng,100.0,1,3,2,2,10.299,1
Mỹ An 23,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,88.0,1,2,2,2,5.199,1
Doãn Uẩn,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,90.0,1,2,3,2,5.3,1
Mai Thúc Lân,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,138.0,1,3,2,2,19.999,1
Lê Văn Hiến,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,112.0,1,2,2,2,7.899,1
Nguyễn Thông,An Hải Tây,Sơn Trà,Đà Nẵng,100.0,1,4,4,3,9.999,1
Bàu Tràm 1,Khuê Trung,Cẩm Lệ,Đà Nẵng,122.0,1,5,4,3,6.589,1
Phạm Kiệt,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,82.0,2,2,2,7,3.608,1
Cô Giang,Phước Ninh,Hải Châu,Đà Nẵng,146.3,1,4,3,3,19.5,1
Ngô Quyền,An Hải Đông,Sơn Trà,Đà Nẵng,100.0,1,20,20,9,33.0,1
Lê Văn Quý,Phước Mỹ,Sơn Trà,Đà Nẵng,75.0,1,4,4,4,10.8,1
Hà Thị Thân,An Hải Tây,Sơn Trà,Đà Nẵng,111.0,1,14,14,6,16.5,1
Lê Văn Quý,Phước Mỹ,Sơn Trà,Đà Nẵng,75.0,1,4,45,4,10.8,1
Trần Minh Thiệt,Hòa Quý,Ngũ Hành Sơn,Đà Nẵng,100.0,1,3,3,2,4.1,1
Phạm Phú Tiết,Khuê Trung,Cẩm Lệ,Đà Nẵng,97.0,1,1,1,3,6.15,1
Vùng Trung 18,Hòa Hải,Ngũ Hành Sơn,Đà Nẵng,103.0,1,1,1,2,3.7,1
Đoàn Khuê,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,95.0,1,3,4,3,7.8,1
Trần Khánh Dư,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,95.0,1,2,2,3,8.8,1
An Thượng 34,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,905.0,1,9,9,5,17.0,1
An Thượng 38,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,60.0,1,7,7,4,9.0,1
An Hải 6,An Hải Bắc,Sơn Trà,Đà Nẵng,100.0,1,3,2,3,7.5,1
Chính Hữu,An Hải Bắc,Sơn Trà,Đà Nẵng,132.0,1,2,3,3,9.899,1
Núi Thành,Hòa Cường Bắc,Hải Châu,Đà Nẵng,100.2,1,5,5,3,13.6,1
Trần Cao Vân,Tam Thuận,Thanh Khê,Đà Nẵng,52.0,1,3,4,3,4.95,1
Lưu Quý Kỳ,Hòa Cường Nam,Hải Châu,Đà Nẵng,60.7,1,4,4,3,0.005,1
Tôn Đức Thắng,Hòa Khánh Nam,Liên Chiểu,Đà Nẵng,202.0,1,4,4,2,18.0,1
Ỷ Lan Nguyên Phi,Hòa Cường Bắc,Hải Châu,Đà Nẵng,90.0,1,3,3,3,9.2,1
Trần Hưng Đạo,An Hải Bắc,Sơn Trà,Đà Nẵng,250.0,1,7,7,5,80.0,1
Đinh Tiên Hoàng,Tam Thuận,Thanh Khê,Đà Nẵng,72.0,1,2,2,2,3.8,1
Cù Chính Lan,An Khê,Thanh Khê,Đà Nẵng,198.0,1,3,2,2,12.5,1
Hóa Sơn 1,Hải Châu 1,Hải Châu,Đà Nẵng,120.0,1,4,4,4,11.599,1
Xô Viết Nghệ Tĩnh,Hòa Cường Nam,Hải Châu,Đà Nẵng,18.54,1,3,3,2,1.093,1
Lê Văn Duyệt,Nại Hiên Đông,Sơn Trà,Đà Nẵng,7167.0,1,2,2,6,4.3,1
Trần Hưng Đạo,An Hải Tây,Sơn Trà,Đà Nẵng,100.0,1,4,6,3,0.03,1
Đoàn Hữu Trưng,Hòa An,Cẩm Lệ,Đà Nẵng,92.0,1,3,3,2,4.7,1
Nguyễn Đức Cảnh,Thuận Phước,Hải Châu,Đà Nẵng,80.0,1,3,2,2,5.0,1
Nguyễn Hoàng,Bình Hiên,Hải Châu,Đà Nẵng,73.0,1,2,2,2,7.2,1
Phạm Nhữ Tăng,Hòa Khê,Thanh Khê,Đà Nẵng,90.0,1,3,3,2,4.299,1
Dương Đức Hiền,Hòa Minh,Liên Chiểu,Đà Nẵng,72.0,1,3,5,3,5.85,1
Lê Văn Duyệt,Nại Hiên Đông,Sơn Trà,Đà Nẵng,63.0,1,2,2,3,3.726,1
Hà Đặc,Phước Mỹ,Sơn Trà,Đà Nẵng,63.0,1,3,3,3,7.5,1
Bùi Dương Lịch,Nại Hiên Đông,Sơn Trà,Đà Nẵng,92651.8,2,2,1,6,4910.545,1
Lê Văn Duyệt,Nại Hiên Đông,Sơn Trà,Đà Nẵng,77.7,1,2,2,3,4.428,1
An Nhơn,An Hải Bắc,Sơn Trà,Đà Nẵng,114.0,1,4,4,3,9.7,1
Nguyễn Chí Diểu,An Hải Bắc,Sơn Trà,Đà Nẵng,110.0,1,5,5,3,7.1,1
Hoàng Bích Sơn,An Hải Bắc,Sơn Trà,Đà Nẵng,110.0,1,3,3,3,8.5,1
Xuân Hòa 2,Thanh Khê Đông,Thanh Khê,Đà Nẵng,60.0,1,3,2,2,4.2,1
Chu Huy Mân,Nại Hiên Đông,Sơn Trà,Đà Nẵng,160.0,1,6,6,3,9.85,1
Ngô Quyền,An Hải Bắc,Sơn Trà,Đà Nẵng,90.0,1,3,3,3,7.499,1
Trần Thanh Mại,An Hải Bắc,Sơn Trà,Đà Nẵng,89.0,1,4,4,4,7.6,1
Phan Bôi,An Hải Đông,Sơn Trà,Đà Nẵng,80.0,1,4,4,4,6.799,1
Kỳ Đồng,Thanh Khê Đông,Thanh Khê,Đà Nẵng,100.0,1,3,3,3,8.499,1
Mẹ Nhu,Thanh Khê Tây,Thanh Khê,Đà Nẵng,44.0,1,2,2,2,3.25,1
Nguyễn Đức Trung,Thanh Khê Đông,Thanh Khê,Đà Nẵng,80.0,1,4,4,4,11.0,1
Thủ Khoa Huân,An Hải Đông,Sơn Trà,Đà Nẵng,189.0,1,1,1,2,14.5,1
Bình An 7,Hòa Cường Bắc,Hải Châu,Đà Nẵng,95.0,1,3,3,2,5.9,1
Thanh Thủy,Thanh Bình,Hải Châu,Đà Nẵng,180.0,1,4,6,3,19.0,1
Cần Giuộc,An Khê,Thanh Khê,Đà Nẵng,90.0,1,3,2,2,5.5,1
Khúc Hạo,Nại Hiên Đông,Sơn Trà,Đà Nẵng,125.0,1,4,5,3,7.2,1
Trưng Nữ Vương,Hòa Thuận Tây,Hải Châu,Đà Nẵng,100.0,1,4,4,3,10.5,1
Thanh Hải,Thanh Bình,Hải Châu,Đà Nẵng,110.0,1,4,4,2,8.5,1
Đa Mặn 6,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,100.0,1,4,4,4,7.75,1
Tiên Sơn 17,Hòa Cường Bắc,Hải Châu,Đà Nẵng,105.0,1,2,2,2,6.4,1
Hàm Nghi,Vĩnh Trung,Thanh Khê,Đà Nẵng,51.0,1,3,3,4,13.5,1
Bình Hòa 2,Khuê Trung,Cẩm Lệ,Đà Nẵng,60.0,1,4,3,3,4.1,1
